Price,Close,High,Low,Open,Volume,MA_7,MA_30,Daily_Change
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,
2022-04-19,164.16940307617188,164.5813108194766,160.74676487778993,161.83534399523174,67723800,164.1497846330915,164.3367711385091,1.4115224312661434
2022-04-20,164.00267028808594,165.62083637298807,162.89448802131358,165.50314204406817,67929800,163.74909319196428,164.65680694580078,-0.10156142677121283
2022-04-21,163.20831298828125,168.21969736612456,162.70816069883412,165.65026467883652,87227800,163.84296308244978,164.7702407836914,-0.48435632078998037
2022-04-22,158.66769409179688,164.6303611950783,158.38329723215043,163.24758340946244,84882400,163.02057756696428,164.87713826497395,-2.7821002578529264
2022-04-25,159.7366180419922,160.0210148088947,155.40192048493418,158.01057433340998,96046400,161.96702575683594,165.14356231689453,0.673687202876283
2022-04-26,153.77395629882812,159.20703454434567,153.69549840448505,159.11877502482716,95623200,160.77757481166296,165.34558766682943,-3.7328083042277638
2022-04-27,153.5483856201172,156.7062295432353,152.38134886202627,152.9011192722885,88063200,159.5867200578962,165.3939682006836,-0.14668978033743896
2022-04-28,160.4819793701172,161.34500140614668,155.86286910913438,156.17670074562366,130216800,159.05994524274553,165.5263646443685,4.515575804980387
2022-04-29,154.60755920410156,162.9925585964128,154.21528465651994,158.7167001847882,131747600,157.71778651646204,165.4292765299479,-3.660485862071494
2022-05-02,154.9115753173828,155.17635387935172,150.31208408187865,153.68569876055605,123055300,156.53253827776228,165.23248240152995,0.19663728917673762
2022-05-03,156.40225219726562,157.60852567132414,153.30324720330452,155.09791756360522,88966500,156.20890372140067,165.03961079915365,0.9622759802349945
2022-05-04,162.81600952148438,163.26712367160144,156.18646015369234,156.58855121763597,108256500,156.64881678989954,164.94807840983074,4.100808801735956
2022-05-05,153.7445526123047,160.91347698312873,151.9596689981739,160.68791986588977,130525300,156.64461626325334,164.50872446695965,-5.571600075349259
2022-05-06,154.47134399414062,156.59277501720737,151.4266967858706,153.22401904266582,116124600,156.7764674595424,163.96741333007813,0.47272659062509437
2022-05-09,149.3445281982422,153.04720818256274,148.78471498335946,152.16327128379606,131577900,155.1854030064174,163.23395894368488,-3.318942959474025
2022-05-10,151.7508087158203,153.94099694086412,150.19902200842762,152.74278207802044,115366700,154.7772957938058,162.55194702148438,1.6112277742000636
2022-05-11,143.88385009765625,152.67402087769284,143.20616949802272,150.7588463480562,142689800,153.20190647670202,161.49786478678385,-5.184129616664057
2022-05-12,140.01419067382812,143.58918770892123,136.32134136947613,140.22044713133192,182602000,150.86075483049666,160.35369517008465,-2.689432775952083
2022-05-13,144.4829559326172,145.45528221531998,140.55438668965164,142.00795311338425,113990900,148.2417471749442,159.46178487141927,3.191651672793183
2022-05-16,142.9409942626953,144.88564694988057,141.60528003698874,142.9508252776519,86643800,146.69838169642858,158.52828267415364,-1.0672273833053358
2022-05-17,146.57492065429688,147.09545486873625,144.06062380512492,146.2017017887358,78336300,145.57032121930803,157.58090209960938,2.542256271789456
2022-05-18,138.30528259277344,144.72848648816108,137.40169851030006,144.22759932213285,109742900,143.9932861328125,156.4683588663737,-5.641918838917692
2022-05-19,134.8972625732422,139.13029385475133,134.1606557844978,137.38208160836896,136095600,141.58563668387276,155.3478047688802,-2.4641285970007587
2022-05-20,135.1329345703125,138.1873972505803,130.2418708685785,136.60614779257094,137426100,140.33550589425224,154.22497100830077,0.17470480317742787
2022-05-23,140.55438232421875,140.7016976717336,135.19187888015,135.32937819993117,117726300,140.41267613002233,153.34986673990886,4.011936668988247
2022-05-24,137.85350036621094,139.4347501436659,134.8776102549607,138.2954614249139,104132700,139.46561104910714,152.5266092936198,-1.9215921363288757
2022-05-25,138.01065063476562,139.257960660006,135.86957246588344,135.9579616828589,92482700,138.7612762451172,151.64615122477213,0.1139980255395967
2022-05-26,141.21240234375,141.76239957025606,134.69097882633443,134.93651437290322,90601500,137.99520220075334,150.78284861246746,2.3199308852311473
2022-05-27,146.96775817871094,147.00703727273068,142.66597054796807,142.79365382955837,90978500,139.23269871303015,150.27843678792317,4.075673056641871
2022-05-31,146.1820526123047,147.9695587462053,144.21776806233134,146.40795612568894,103718400,140.84481157575334,149.7550262451172,-0.5346108399169047
2022-06-01,146.0543975830078,149.03028774780992,145.0427771604216,147.223134407982,74286600,142.40502057756697,149.15119272867838,-0.08732606158939893
2022-06-02,148.50978088378906,148.56870703870408,144.23745481678014,145.19013428472184,72348100,143.54150608607702,148.6347630818685,1.6811430134349603
2022-06-03,142.78384399414062,145.327588805216,141.88027492949882,144.27668941243508,88570300,144.24584089006697,147.95394744873047,-3.855595810304957
2022-06-06,143.53025817871094,145.91687147884687,142.31239647541148,144.40436412307008,71598400,145.03435625348772,147.4493662516276,0.5227581522465163
2022-06-07,146.0543975830078,146.33921227466968,141.52672068431926,141.77225627538414,67808200,145.726069859096,146.99329223632813,1.7586113453192942
2022-06-08,145.3177490234375,147.19362901017018,144.8266779825161,145.9266723185644,53950200,145.49035426548548,146.71141866048177,-0.5043658881627611
